year,coo,coo_name,coa,coa_name,refugees,asylum_seekers
2022,UKR,Ukraine,RUS,Russian Federation,1275315,610
2023,UKR,Ukraine,RUS,Russian Federation,1227554,257
2024,UKR,Ukraine,GFR,Germany,1205729,1830
2025,UKR,Ukraine,GFR,Germany,1193063,1654
2023,UKR,Ukraine,GFR,Germany,1097503,1640
2022,UKR,Ukraine,GFR,Germany,1002999,1383
2025,UKR,Ukraine,POL,Poland,995247,5785
2024,UKR,Ukraine,POL,Poland,991223,3448
2022,UKR,Ukraine,POL,Poland,958147,372
2023,UKR,Ukraine,POL,Poland,955891,1005
2022,UKR,Ukraine,CZE,Czechia,433501,137
2024,UKR,Ukraine,CZE,Czechia,388388,126
2025,UKR,Ukraine,CZE,Czechia,378251,117
2023,UKR,Ukraine,CZE,Czechia,374247,100
2025,UKR,Ukraine,GBR,United Kingdom of Great Britain and Northern Ireland,262436,1311
2024,UKR,Ukraine,GBR,United Kingdom of Great Britain and Northern Ireland,255141,945
2025,UKR,Ukraine,SPA,Spain,237005,1035
2025,UKR,Ukraine,CAN,Canada,232381,1115
2023,UKR,Ukraine,GBR,United Kingdom of Great Britain and Northern Ireland,225497,327
2024,UKR,Ukraine,SPA,Spain,222544,1010
2023,UKR,Ukraine,SPA,Spain,191327,1145
2025,UKR,Ukraine,ROM,Romania,186040,0
2022,UKR,Ukraine,GBR,United Kingdom of Great Britain and Northern Ireland,182423,976
2024,UKR,Ukraine,ROM,Romania,177996,5
2025,UKR,Ukraine,ITA,Italy,173620,2012
2024,UKR,Ukraine,ITA,Italy,167780,1875
2023,UKR,Ukraine,ITA,Italy,164667,1331
2022,UKR,Ukraine,SPA,Spain,159194,1515
2022,UKR,Ukraine,ITA,Italy,149872,1878
2022,UKR,Ukraine,BUL,Bulgaria,149215,16
2025,UKR,Ukraine,SVK,Slovakia,143836,10
2024,UKR,Ukraine,SVK,Slovakia,142172,10
2024,UKR,Ukraine,MDA,Rep. of Moldova,135486,375
2025,UKR,Ukraine,MDA,Rep. of Moldova,132775,186
2023,UKR,Ukraine,SVK,Slovakia,124962,0
2025,UKR,Ukraine,NET,Netherlands (Kingdom of the),123542,399
2023,UKR,Ukraine,MDA,Rep. of Moldova,120564,131
2024,UKR,Ukraine,NET,Netherlands (Kingdom of the),118974,564
2025,UKR,Ukraine,IRE,Ireland,112446,359
2024,UKR,Ukraine,IRE,Ireland,109081,451
2023,UKR,Ukraine,NET,Netherlands (Kingdom of the),105338,1290
2022,UKR,Ukraine,NET,Netherlands (Kingdom of the),102643,1059
2023,UKR,Ukraine,IRE,Ireland,100545,291
2022,UKR,Ukraine,ROM,Romania,100086,42
2022,UKR,Ukraine,MDA,Rep. of Moldova,98910,3194
2022,UKR,Ukraine,SVK,Slovakia,94858,0
2022,UKR,Ukraine,AUS,Austria,89862,249
2025,UKR,Ukraine,BEL,Belgium,89072,638
2024,UKR,Ukraine,BEL,Belgium,85635,887
2024,UKR,Ukraine,AUS,Austria,84987,56
2025,UKR,Ukraine,AUS,Austria,84785,52
2023,UKR,Ukraine,AUS,Austria,83748,68
2023,UKR,Ukraine,ROM,Romania,81493,6
2025,UKR,Ukraine,NOR,Norway,79577,967
2024,UKR,Ukraine,NOR,Norway,79112,877
2023,UKR,Ukraine,LTU,Lithuania,77340,5
2023,UKR,Ukraine,BEL,Belgium,75260,0
2024,UKR,Ukraine,CAN,Canada,75221,824
2022,UKR,Ukraine,CAN,Canada,75098,196
2023,UKR,Ukraine,CAN,Canada,75055,191
2024,UKR,Ukraine,BUL,Bulgaria,74322,5
2025,UKR,Ukraine,FIN,Finland,72247,145
2022,UKR,Ukraine,IRE,Ireland,70578,238
2025,UKR,Ukraine,FRA,France,70260,8859
2022,UKR,Ukraine,FRA,France,69302,1270
2024,UKR,Ukraine,FRA,France,68929,6296
2024,UKR,Ukraine,FIN,Finland,68589,197
2023,UKR,Ukraine,BUL,Bulgaria,68276,5
2023,UKR,Ukraine,FRA,France,68181,1866
2025,UKR,Ukraine,SWI,Switzerland,67906,895
2025,UKR,Ukraine,BUL,Bulgaria,67875,5
2024,UKR,Ukraine,SWI,Switzerland,66894,639
2023,UKR,Ukraine,NOR,Norway,66450,948
2023,UKR,Ukraine,SWI,Switzerland,66419,225
2022,UKR,Ukraine,LTU,Lithuania,65175,0
2023,UKR,Ukraine,MNE,Montenegro,64640,0
2023,UKR,Ukraine,FIN,Finland,63503,327
2025,UKR,Ukraine,HUN,Hungary,63326,0
2024,UKR,Ukraine,HUN,Hungary,62987,0
2022,UKR,Ukraine,BEL,Belgium,61975,685
2022,UKR,Ukraine,SWI,Switzerland,60162,109
2023,UKR,Ukraine,HUN,Hungary,57401,0
2024,UKR,Ukraine,POR,Portugal,57141,16
2025,UKR,Ukraine,POR,Portugal,55872,20
2023,UKR,Ukraine,POR,Portugal,51566,17
2024,UKR,Ukraine,LTU,Lithuania,50641,10
2025,UKR,Ukraine,LTU,Lithuania,49248,5
2024,UKR,Ukraine,LVA,Latvia,47687,5
2022,UKR,Ukraine,SWE,Sweden,46857,989
2024,UKR,Ukraine,SWE,Sweden,45993,151
2022,UKR,Ukraine,POR,Portugal,44960,29
2022,UKR,Ukraine,FIN,Finland,44953,553
2023,UKR,Ukraine,LVA,Latvia,44307,5
2025,UKR,Ukraine,SWE,Sweden,44075,139
2023,UKR,Ukraine,SWE,Sweden,43467,1111
2024,UKR,Ukraine,BLR,Belarus,43114,1199
2024,UKR,Ukraine,EST,Estonia,41729,98
2025,UKR,Ukraine,BLR,Belarus,41557,1255
2023,UKR,Ukraine,EST,Estonia,41463,294
2025,UKR,Ukraine,EST,Estonia,40901,151
2022,UKR,Ukraine,EST,Estonia,40298,518
2023,UKR,Ukraine,BLR,Belarus,39645,282
2025,UKR,Ukraine,DEN,Denmark,39279,641
2022,UKR,Ukraine,LVA,Latvia,37800,10
2025,UKR,Ukraine,GRE,Greece,36268,61
2024,UKR,Ukraine,DEN,Denmark,36058,640
2023,UKR,Ukraine,DEN,Denmark,35940,749
2022,UKR,Ukraine,NOR,Norway,33243,10
2022,UKR,Ukraine,DEN,Denmark,32839,867
2024,UKR,Ukraine,GRE,Greece,32830,61
2022,UKR,Ukraine,MNE,Montenegro,32346,5
2025,UKR,Ukraine,LVA,Latvia,31661,0
2024,UKR,Ukraine,GEO,Georgia,29914,85
2022,UKR,Ukraine,HUN,Hungary,29632,5
2025,UKR,Ukraine,GEO,Georgia,29124,102
2024,UKR,Ukraine,HRV,Croatia,27256,11
2023,UKR,Ukraine,GRE,Greece,27043,70
2025,UKR,Ukraine,HRV,Croatia,26873,11
2022,UKR,Ukraine,GEO,Georgia,26446,52
2023,UKR,Ukraine,GEO,Georgia,24751,30
2025,UKR,Ukraine,CYP,Cyprus,23853,43
2023,UKR,Ukraine,HRV,Croatia,23733,0
2024,UKR,Ukraine,CYP,Cyprus,21875,85
2022,UKR,Ukraine,GRE,Greece,21827,104
2024,UKR,Ukraine,MCD,North Macedonia,20741,0
2025,UKR,Ukraine,MCD,North Macedonia,20741,0
2022,UKR,Ukraine,HRV,Croatia,19416,0
2022,UKR,Ukraine,BLR,Belarus,19384,532
2023,UKR,Ukraine,CYP,Cyprus,19019,111
2025,UKR,Ukraine,MNE,Montenegro,18992,5
2023,UKR,Ukraine,MCD,North Macedonia,18703,0
2024,UKR,Ukraine,MNE,Montenegro,18558,0
2025,UKR,Ukraine,SRB,Serbia and Kosovo: S/RES/1244 (1999),14057,0
2022,UKR,Ukraine,CYP,Cyprus,12472,94
2024,UKR,Ukraine,SVN,Slovenia,11296,127
2025,UKR,Ukraine,ALB,Albania,10763,0
2024,UKR,Ukraine,SRB,Serbia and Kosovo: S/RES/1244 (1999),10719,0
2025,UKR,Ukraine,SVN,Slovenia,10620,138
2023,UKR,Ukraine,SVN,Slovenia,9467,47
2024,UKR,Ukraine,ALB,Albania,9250,0
2022,UKR,Ukraine,SVN,Slovenia,7748,16
2023,UKR,Ukraine,AUL,Australia,7472,809
2024,UKR,Ukraine,RUS,Russian Federation,6894,149
2022,UKR,Ukraine,MCD,North Macedonia,6816,0
2025,UKR,Ukraine,RUS,Russian Federation,6121,163
2023,UKR,Ukraine,ICE,Iceland,5425,25
2023,UKR,Ukraine,LUX,Luxembourg,5365,40
2023,UKR,Ukraine,ALB,Albania,4959,0
2024,UKR,Ukraine,AZE,Azerbaijan,4906,206
2025,UKR,Ukraine,AZE,Azerbaijan,4893,150
2022,UKR,Ukraine,AZE,Azerbaijan,4770,77
2025,UKR,Ukraine,ARM,Armenia,4768,24
2022,UKR,Ukraine,LUX,Luxembourg,4500,25
2025,UKR,Ukraine,ICE,Iceland,4270,25
2023,UKR,Ukraine,AZE,Azerbaijan,4206,107
2023,UKR,Ukraine,SRB,Serbia and Kosovo: S/RES/1244 (1999),4063,0
2024,UKR,Ukraine,ICE,Iceland,4029,27
2024,UKR,Ukraine,LUX,Luxembourg,3747,40
2025,UKR,Ukraine,LUX,Luxembourg,3648,50
2025,UKR,Ukraine,AUL,Australia,3520,1272
2024,UKR,Ukraine,USA,United States of America,3397,18658
2025,UKR,Ukraine,USA,United States of America,3397,18658
2023,UKR,Ukraine,USA,United States of America,3299,17773
2023,UKR,Ukraine,TUR,Türkiye,3232,0
2022,UKR,Ukraine,USA,United States of America,3063,12369
2022,UKR,Ukraine,TUR,Türkiye,2768,2189
2024,UKR,Ukraine,TUR,Türkiye,2616,0
2024,UKR,Ukraine,MTA,Malta,2591,110
2022,UKR,Ukraine,ALB,Albania,2542,5
2025,UKR,Ukraine,TUR,Türkiye,2399,0
2022,UKR,Ukraine,ICE,Iceland,2335,0
2025,UKR,Ukraine,MTA,Malta,2335,90
2023,UKR,Ukraine,MTA,Malta,2192,89
2023,UKR,Ukraine,JPN,Japan,2077,0
2024,UKR,Ukraine,JPN,Japan,2058,0
2025,UKR,Ukraine,JPN,Japan,2058,0
2022,UKR,Ukraine,JPN,Japan,2013,0
2022,UKR,Ukraine,MTA,Malta,1765,54
2022,UKR,Ukraine,AUL,Australia,1527,502
2025,UKR,Ukraine,BRA,Brazil,1459,26
2024,UKR,Ukraine,BRA,Brazil,1330,34
2023,UKR,Ukraine,BRA,Brazil,1129,30
2022,UKR,Ukraine,SRB,Serbia and Kosovo: S/RES/1244 (1999),1108,0
2025,UKR,Ukraine,LIE,Liechtenstein,763,0
2024,UKR,Ukraine,LIE,Liechtenstein,727,0
2024,UKR,Ukraine,ARM,Armenia,706,63
2023,UKR,Ukraine,ARM,Armenia,599,46
2023,UKR,Ukraine,LIE,Liechtenstein,577,0
2022,UKR,Ukraine,ARM,Armenia,406,122
2022,UKR,Ukraine,LIE,Liechtenstein,402,0
